code,Unnamed: 0,title,pub_date,citations,abstract,class,year,abstract_processed,topic,class_topic,core,louvain,LCcore
EP3410328A1,29,Method and system to distinguish between a human and a robot as a user of a mobile smart device ,2018-12-05,"['US9531710B2', 'US10032010B2', 'US10083304B2', 'US9547766B2', 'US10002244B2', 'US10740758B2', 'KR20190025965A', 'US10395018B2', 'US10055560B2', 'US20170193526A1', 'US20200327458A1', 'EP3368973B1', 'US9848009B2', 'US20170235954A1', 'US10404729B2', 'US9305298B2', 'US10068076B1', 'JP6239807B1', 'US9526006B2', 'US20170109514A1', 'US9838373B2', 'US9071969B2']","
A system and method to distinguish between a human and a robot as a user of a mobile smart device, comprising building a current user behavior vector based on a statistical analysis of the use data in a predetermined time frame, and storing the current user behavior vector in a database of the mobile smart device.
",G06,2018,"
a system and method to distinguish between a human and a robot as a user of a mobile smart device comprising building a current user behavior vector based on a statistical analysis of the use data in a predetermined time frame and storing the current user behavior vector in a database of the mobile smart device
",0,G06_0,2,0.0,8.0
US10032010B2,30,"System, device, and method of visual login and stochastic cryptography ",2018-07-24,"['US9071969B2', 'US10839065B2', 'US20190364019A1', 'JP6239808B1', 'US10686818B2', 'CN105229596B', 'US10754935B2', 'US9971891B2', 'US10356069B2', 'US9794228B2', 'JP2017528055A', 'CN104408341B', 'JP6190897B2', 'US9813446B2', 'US10587601B2', 'US9552470B2', 'US20190236250A1']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, and detecting a possible attacker. A log-in process or a user-authentication process, is augmented or enriched by one or more incidental tasks, which force the user to perform additional on-screen interactions or input-unit interactions, which in turn enrich and augment the pool of user interactions from which the system extracts one or more user-specific features. The extracted user-specific features are used as part of the user authentication process, and are further used to differentiate among users.
",G06,2018,"
devices systems and methods of detecting user identity differentiating between users of a computerized service and detecting a possible attacker a log-in process or a user-authentication process is augmented or enriched by one or more incidental tasks which force the user to perform additional on-screen interactions or input-unit interactions which in turn enrich and augment the pool of user interactions from which the system extracts one or more user-specific features the extracted user-specific features are used as part of the user authentication process and are further used to differentiate among users
",1,G06_1,2,0.0,8.0
US9547766B2,31,"Device, system, and method of detecting malicious automatic script and code injection ",2017-01-17,"['US10230718B2', 'US10049209B2', 'US9071969B2', 'US10164985B2', 'US10839065B2', 'US20190364019A1', 'US10686818B2', 'US10735432B2', 'US10754935B2', 'US10834090B2', 'RU2626337C1', 'US10558792B2', 'KR101721032B1', 'US20200327212A1', 'US9813446B2', 'US9552470B2']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, and detecting a possible attacker. The methods include monitoring of user-side input-unit interactions, in general and in response to an interference introduced to user-interface elements. The monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script, as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account.
",G06,2017,"
devices systems and methods of detecting user identity differentiating between users of a computerized service and detecting a possible attacker the methods include monitoring of user-side input-unit interactions in general and in response to an interference introduced to user-interface elements the monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account
",1,G06_1,2,0.0,8.0
US10740758B2,32,"Context-dependent authentication system, method and device ",2020-08-11,"['US9531710B2', 'US10164985B2', 'US10002244B2', 'US10237070B2', 'US10777030B2', 'JP2019109919A', 'CN107077551B', 'US10250583B2', 'US9848009B2', 'US20160269411A1', 'US10735432B2', 'US9143506B2', 'US10659439B2', 'CN105447689B', 'US20190156345A1', 'US10592650B2', 'US10356099B2', 'US9526006B2', 'US9391985B2', 'JP6663188B2', 'US20180000367A1', 'US10354054B2', 'US20190347632A1', 'US10091195B2']","
A method for authenticating a user using a user device connected to a communications network, the method comprising an implicit phase, wherein said implicit phase comprises performing at least one task within a workflow, said at least one task necessary to move forward within said workflow; storing information associated with said performing of at least one task; comparing said stored information with a stored user profile; and determining whether said authentication of said user is successful or unsuccessful based on said comparing.
",G06,2020,"
a method for authenticating a user using a user device connected to a communications network the method comprising an implicit phase wherein said implicit phase comprises performing at least one task within a workflow said at least one task necessary to move forward within said workflow; storing information associated with said performing of at least one task; comparing said stored information with a stored user profile; and determining whether said authentication of said user is successful or unsuccessful based on said comparing
",6,G06_6,2,0.0,8.0
US10055560B2,35,"Device, method, and system of detecting multiple users accessing the same account ",2018-08-21,"['US10230718B2', 'US10049209B2', 'US9071969B2', 'US10397262B2', 'US10164985B2', 'US10839065B2', 'AU2016315900B2', 'US10735432B2', 'US10754935B2', 'US9225737B2', 'US10686818B2', 'US10834090B2', 'US10586036B2', 'US10558792B2', 'KR101721032B1', 'US20200327212A1', 'US20190236250A1']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, and detecting a possible attacker. The methods include monitoring of user-side input-unit interactions, in general and in response to an interference introduced to user-interface elements. The monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script, as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account.
",G06,2018,"
devices systems and methods of detecting user identity differentiating between users of a computerized service and detecting a possible attacker the methods include monitoring of user-side input-unit interactions in general and in response to an interference introduced to user-interface elements the monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account
",1,G06_1,2,0.0,8.0
US20170193526A1,36,"Device, system, and method of differentiating among users based on detection of hardware components ",2017-07-06,"['US10164985B2', 'US10395018B2', 'KR101721032B1', 'US20180082304A1', 'US10839065B2', 'US9485275B2', 'US10735432B2', 'US10834090B2', 'US20190236250A1', 'US10157273B2', 'US10686818B2', 'AU2016315900B2', 'US9813441B2', 'CN106716958B', 'US9552470B2', 'US9071969B2', 'US20190364019A1', 'US9264419B1', 'CN104408341B']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, detecting a possible attacker, and flagging a particular financial transaction or a particular retail transaction as being possibly-fraudulent. The methods include monitoring of user-side input-unit interactions, in general and in response to an interference introduced to user-interface elements. The monitored interactions are analyzed, and enable extraction of hardware-specific features of a computer mouse, a touchpad, a touch-screen, a keyboard, or other input unit. In some methods, detection of different mouse polling rates or different mouse DPI values, across two different usage sessions in the same financial account, enables the method to detect a possibly-fraudulent transaction.
",G06,2017,"
devices systems and methods of detecting user identity differentiating between users of a computerized service detecting a possible attacker and flagging a particular financial transaction or a particular retail transaction as being possibly-fraudulent the methods include monitoring of user-side input-unit interactions in general and in response to an interference introduced to user-interface elements the monitored interactions are analyzed and enable extraction of hardware-specific features of a computer mouse a touchpad a touch-screen a keyboard or other input unit in some methods detection of different mouse polling rates or different mouse dpi values across two different usage sessions in the same financial account enables the method to detect a possibly-fraudulent transaction
",1,G06_1,2,0.0,8.0
US20200327458A1,37,"Context-dependent authentication system, method and device ",2020-10-15,"['US9531710B2', 'US10164985B2', 'US10002244B2', 'US10237070B2', 'US10777030B2', 'JP2019109919A', 'US10250583B2', 'CN107077551B', 'JP2019524204A', 'US9848009B2', 'US10735432B2', 'US10212588B2', 'US10659439B2', 'CN103907328B', 'CN105447689B', 'US20190156345A1', 'US10592650B2', 'US10356099B2', 'US9526006B2', 'US9391985B2', 'JP6663188B2', 'US10354054B2', 'US10861012B2', 'US20190347632A1']","
A method for authenticating a user using a user device connected to a communications network, the method comprising an implicit phase, wherein said implicit phase comprises performing at least one task within a workflow, said at least one task necessary to move forward within said workflow; storing information associated with said performing of at least one task; comparing said stored information with a stored user profile; and determining whether said authentication of said user is successful or unsuccessful based on said comparing.
",G06,2020,"
a method for authenticating a user using a user device connected to a communications network the method comprising an implicit phase wherein said implicit phase comprises performing at least one task within a workflow said at least one task necessary to move forward within said workflow; storing information associated with said performing of at least one task; comparing said stored information with a stored user profile; and determining whether said authentication of said user is successful or unsuccessful based on said comparing
",6,G06_6,2,0.0,8.0
US9848009B2,38,Identification of computerized bots and automated cyber-attack modules ,2017-12-19,"['US20160021117A1', 'KR101977845B1', 'US10044730B1', 'US10740758B2', 'US10091180B1', 'EP3368973B1', 'US10735432B2', 'US20170235954A1', 'CN106575401B', 'JP6239808B1', 'US10068076B1', 'CN105229596B', 'US9794228B2', 'US9813446B2', 'US9526006B2', 'US9552470B2', 'US10223517B2', 'US9071969B2', 'US20190364019A1', 'US20200244633A1', 'US10558792B2', 'CN104408341B']","
Devices, systems, and methods of detecting whether an electronic device or computerized device or computer, is being controlled by a legitimate human user, or by an automated cyber-attack unit or malware or automatic script. The system monitors interactions performed via one or more input units of the electronic device. The system searches for abnormal input-user interactions; or for an abnormal discrepancy between: the input-unit gestures that were actually registered by the input unit, and the content that the electronic device reports as allegedly entered via such input units. A discrepancy or abnormality indicates that more-possibly, or necessarily or certainly, a malware or automated script is controlling the electronic device, rather than a legitimate human user. Optionally, an input-output aberration or interference is injected, in order to check for manual corrective actions that only a human user, and not an automated script, is able to perform.
",H04,2017,"
devices systems and methods of detecting whether an electronic device or computerized device or computer is being controlled by a legitimate human user or by an automated cyber-attack unit or malware or automatic script the system monitors interactions performed via one or more input units of the electronic device the system searches for abnormal input-user interactions; or for an abnormal discrepancy between: the input-unit gestures that were actually registered by the input unit and the content that the electronic device reports as allegedly entered via such input units a discrepancy or abnormality indicates that more-possibly or necessarily or certainly a malware or automated script is controlling the electronic device rather than a legitimate human user optionally an input-output aberration or interference is injected in order to check for manual corrective actions that only a human user and not an automated script is able to perform
",1,H04_1,2,0.0,8.0
US9526006B2,42,"System, method, and device of detecting identity of a user of an electronic device ",2016-12-20,"['US9531710B2', 'KR101977845B1', 'US9531733B2', 'US10032010B2', 'US9547766B2', 'US10740758B2', 'US20170270289A1', 'US10586036B2', 'US10069852B2', 'US20170193526A1', 'US20180107836A1', 'US9921659B2', 'CN107077551B', 'US9848009B2', 'US9626677B2', 'US9450971B2', 'US9477826B2', 'US9621567B2', 'US9542541B1', 'US9838373B2', 'US20190347632A1', 'US9280652B1', 'JP6542324B2', 'US10037421B2']","
A method for confirming identity of a user of a mobile electronic device, the method including: receiving touch data from a touch-screen of the mobile electronic device; receiving acceleration data from an accelerometer of the mobile electronic device; correlating between the touch data and the acceleration data; based on the correlating, generating a user-specific trait indicative of said user. The method further includes storing a reference value of the user-specific trait, indicative of said user; in a subsequent usage session of the mobile electronic device, generating a current value of the user-specific trait correlating between touch data and acceleration data; and based on a comparison between the current value of the user-specific trait and the reference value of the user-specific trait, determining whether or not a current user of the mobile electronic device is an authorized user of the mobile electronic device.
",H04,2016,"
a method for confirming identity of a user of a mobile electronic device the method including: receiving touch data from a touch-screen of the mobile electronic device; receiving acceleration data from an accelerometer of the mobile electronic device; correlating between the touch data and the acceleration data; based on the correlating generating a user-specific trait indicative of said user the method further includes storing a reference value of the user-specific trait indicative of said user; in a subsequent usage session of the mobile electronic device generating a current value of the user-specific trait correlating between touch data and acceleration data; and based on a comparison between the current value of the user-specific trait and the reference value of the user-specific trait determining whether or not a current user of the mobile electronic device is an authorized user of the mobile electronic device
",1,H04_1,2,0.0,8.0
US9838373B2,43,"System, device, and method of detecting a remote access user ",2017-12-05,"['US10049209B2', 'US9071969B2', 'US20180039990A1', 'US10839065B2', 'US20190364019A1', 'AU2016315900B2', 'CN105229596B', 'US10686818B2', 'US10754935B2', 'US10579784B2', 'US10476873B2', 'US10356069B2', 'US9794228B2', 'CN104408341B', 'US10587601B2', 'CN106716958B', 'US9552470B2', 'US20190236250A1']","
Devices, systems, and methods of detecting user identity, differentiating between users of a computerized service, and detecting a possible attacker. The methods include monitoring of user-side input-unit interactions, in general and in response to an interference introduced to user-interface elements. The monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script, as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account.
",H04,2017,"
devices systems and methods of detecting user identity differentiating between users of a computerized service and detecting a possible attacker the methods include monitoring of user-side input-unit interactions in general and in response to an interference introduced to user-interface elements the monitored interactions are used for detecting an attacker that utilizes a remote access channel; for detecting a malicious automatic script as well as malicious code injection; to identify a particular hardware assembly; to perform user segmentation or user characterization; to enable a visual login process with implicit two-factor authentication; to enable stochastic cryptography; and to detect that multiple users are utilizing the same subscription account
",1,H04_1,2,0.0,8.0
